German,Deutsch
parcel,Paket
France,Frankreich
United Kingdom,Vereinigtes Königreich
Germany,Deutschland
Ireland,Irland
Netherlands,die Niederlande
Belgium,Belgien
Denmark,Dänemark
Sweden,Schweden
Norway,Norwegen
Finland,Finnland
Russia,Russland
Estonia,Estland
Lithuania,Litauen
Latvia,Lettland
Poland,Polen
Iceland,Island
to,für
London,London
Paris,Paris
Manchester,Manchester
Glasgow,Glasgow
Cardiff,Cardiff
Belfast,Belfast
Berlin,Berlin
Amsterdam,Amsterdam
Marseille,Marseille
Nice,Nice
Lille,Lille
Munich,München
Leipzig,Leipzig
Cologne,Köln
Rotterdam,Rotterdam
The Hague,Den Haag